Name;Region;City;Latitude;Longitude;Address;SubwayStation;Local Train Station;Check Dubki Bus;From;
Общежитие 1;;Москва;55,78731;37,640911;ул. Б. Переяславская, д. 50, стр.1;Проспект Мира,Рижская,Комсомольская;;false;;
Общежитие 2;;Москва;55,755925;37,752338;Электродная ул., д. 1;Шоссе Энтузиастов;;false;;
Общежитие 3;;Москва;55,759263;37,705023;Энергетическая ул., д. 10, корп. 2;Авиамоторная;;false;43,46,32;
Общежитие 4;;Москва;55,739093;37,545105;Студенческая ул., д. 33 к.1;Студенческая;;false;;
Общежитие 5;;Москва;55,816793;37,645106;Кибальчича ул., д. 7;ВДНХ;;false;;
Общежитие 6;Московская область;Одинцово;55,667243;37,2806823;ул. Комсомольская, д.1;;Одинцово;false;454,339;
Общежитие 8;Московская область;Одинцово;55,669854;37,27968;ул. Маковского, д. 2;;Одинцово;false;454,339;
Общежитие 10;;Москва;55,722076;37,782826;ул. Михайлова, д. 34;Рязанский Проспект;;false;;
Общежитие Дубки 1;Московская область;Одинцовский район, пос. ВНИИССОК;55,739058;37,519791;ул. Дениса Давыдова, д.1;;;true;;
Общежитие Дубки 2;Московская область;Одинцовский район, пос. ВНИИССОК;55,739058;37,519791;ул. Дениса Давыдова, д.3;;;true;;
Общежитие Дубки 3;Московская область;Одинцовский район, пос. ВНИИССОК;55,738434;37,516665;ул. Дениса Давыдова, д.9;;;true;;
