Name;Latitude;Longitude;Type;Transport
Кунцевская;55,730877;37,446874;Subway;
Фили;55,74597;37,514949;Subway;
Беговая;55,773469;37,545581;Subway;
Белорусская;55,77717;37,586194;Subway;
Семеновская;55,783089;37,719423;Subway;
Шаболовская;55,718821;37,607799;Subway;
Лубянка;55,759162;37,627355;Subway;
Китай-Город;55,756498;37,631326;Subway;
Курская;55,75859;37,660045;Subway;
Чкаловская;55,75593;37,659263;Subway;
Рижская;55,792513;37,636123;Subway;
ВДНХ;55,821047;37,641135;Subway;
Нагатинская;55,683386;37,622863;Subway;
Третьяковская;55,740958;37,626322;Subway;
Новокузнецкая;55,74185;37,629295;Subway;
Тверская;55,764455;37,605939;Subway;
Чеховская;55,765843;37,608167;Subway;
Пушкинская;55,765747;37,6039;Subway;
Проспект Мира;55,781757;37,633482;Subway;
Авиамоторная;55,751432;37,716612;Subway;
Студенческая;55,738784;37,548375;Subway;
Комсомольская;55,775672;37,654772;Subway;
Рязанский Проспект;55,717366;37,793606;Subway;
Шоссе Энтузиастов;55,758255;37,751583;Subway;
Чистые Пруды;55,764794;37,638683;Subway;
Сретенский Бульвар;55,76643;37,636015;Subway;
Аэропорт;55,800261;37,53287;Subway;
Кузнецкий Мост;55,761578;37,624373;Subway;
Павелецкая;55,729797;37,638952;Subway;
Текстильщики;55,708831;37,732593;Subway;
Войковская;55,818923;37,497791;Subway;
Сокол;55,804805;37,515461;Subway;
Ленинский Проспект;55,707689;37,586239;Subway;
Красные Ворота;55,768795;37,648888;Subway;
Бауманская;55,772406;37,679035;Subway;
Строгино;55,803691;37,403118;Subway;
Трубная;55,767939;37,621884;Subway;
Славянский бульвар;55,729828;37,472171;Subway;
Парк Победы;55,730715;37,504214;Subway;339
Киевская;55,744596;37,567545;Subway;454
